document_title,document_text,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23
List of Premier League players with 500 or more appearances,,who has made the most premier league appearances,NONE,369-371,,,,,,,,,,,,,,,,,,,,,,
List of Chief Ministers of West Bengal,,who was the first chief minister of west bengal,NONE,352-360,,,,,,,,,,,,,,,,,,,,,,
Got My Mind Set on You,,who sings got my mind set on you,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of psychological research methods,,two main types of research methods used in psychology,NONE,394-396,398-400,402-404,,,,,,,,,,,,,,,,,,,,
I Only Have Eyes for You (Buffy the Vampire Slayer),,i only have eyes for you buffy episode,NONE,,,,,,,,,,,,,,,,,,,,,,,
What We Do in the Shadows,,who plays peter in what we do in the shadows,NONE,1235-1237,,,,,,,,,,,,,,,,,,,,,,
Republic Day (India),,who was the chief guest of india on independence day 2017,NONE,,,,,,,,,,,,,,,,,,,,,,,
Grey's Anatomy (season 14),,when does the 14th season of grey's anatomy come out,NONE,223-227,,,,,,,,,,,,,,,,,,,,,,
The Hunger Games (novel),,when was the first hunger games book published,NONE,183-184,,,,,,,,,,,,,,,,,,,,,,
The Ocean at the End of the Lane,,the ocen at the end of the lane,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Hound of the Baskervilles (2002 film),,sherlock holmes hound of the baskervilles movie 2002,NONE,,,,,,,,,,,,,,,,,,,,,,,
Non-volatile memory,,which of the below feature makes the ram not suitable for the persistent storage,NONE,,,,,,,,,,,,,,,,,,,,,,,
Belonging (album),,keith jarrett's long as you know you're living yours,NONE,,,,,,,,,,,,,,,,,,,,,,,
Adverse event,,mandatory elements in the definition of an adverse event (ae),NONE,,,,,,,,,,,,,,,,,,,,,,,
National debt of the United States,,how much is the united states in debt to china,NONE,9526-9527,,,,,,,,,,,,,,,,,,,,,,
Grease (film),,where did the race in grease take place,NONE,912-914,,,,,,,,,,,,,,,,,,,,,,
IEEE 802.11,,what is the maximum data rate for the 802.11a standard select one,NONE,2272-2276,,,,,,,,,,,,,,,,,,,,,,
Partial charge,,use partial charges to indicate all polar bonds in the following molecules,NONE,,,,,,,,,,,,,,,,,,,,,,,
Centipede,,what is the life cycle of a centipede,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Olympic Games host cities,,where are the summer olympics held this year,NONE,,,,,,,,,,,,,,,,,,,,,,,
Northern coast of Egypt,,which is the nearest country north of egypt,NONE,,,,,,,,,,,,,,,,,,,,,,,
Substitute good,,a good that can be used in place of another good,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lord's Prayer,,where in the bible can i find the lord's prayer,NONE,,,,,,,,,,,,,,,,,,,,,,,
Declaration on the Rights of Indigenous Peoples,,what is the un declaration on the rights of indigenous peoples,NONE,,,,,,,,,,,,,,,,,,,,,,,
United States presidential elections in Nebraska,,when was the last time nebraska voted democrat,NONE,,,,,,,,,,,,,,,,,,,,,,,
Selena Gomez,,what is selena gomez most popular tv show,NONE,,,,,,,,,,,,,,,,,,,,,,,
Wipro,,who become the ceo of it wipro company in 2016,NONE,2349-2352,,,,,,,,,,,,,,,,,,,,,,
Electroencephalography,,4 types of brain wave classifications as recognized by an eeg machine,NONE,,,,,,,,,,,,,,,,,,,,,,,
2018 Winter Olympics,,when do they announce the next winter olympics,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of regions of the United States,,when was each region added to the united states,NONE,,,,,,,,,,,,,,,,,,,,,,,
Eric van der Woodsen,,who does eric end up with in gossip girl,NONE,,,,,,,,,,,,,,,,,,,,,,,
She's the Man,,who plays unis in she's the man,NONE,1316-1318,,,,,,,,,,,,,,,,,,,,,,
You Need a Mess of Help to Stand Alone (album),,saint etienne you need a mess of help to stand alone,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jingle All the Way,,who played booster in jingle all the way,NONE,,,,,,,,,,,,,,,,,,,,,,,
Politics of New Zealand,,what does left and right mean in nz politics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Comedians in Cars Getting Coffee,,season 10 of comedians in cars getting coffee,NONE,,,,,,,,,,,,,,,,,,,,,,,
Dog and pony show,,where does the term dog and pony show come from,NONE,133-147,,,,,,,,,,,,,,,,,,,,,,
History of Islam,,who is recognized as the founder of islam,NONE,2199-2200,,,,,,,,,,,,,,,,,,,,,,
Cars 3,,where is cars 3 supposed to take place,NONE,,,,,,,,,,,,,,,,,,,,,,,
Pixel,,each dot that makes up a satellite image is called a pixel. true or false,NONE,,,,,,,,,,,,,,,,,,,,,,,
Air Bud: World Pup,,who plays emma in air bud world pup,NONE,812-815,,,,,,,,,,,,,,,,,,,,,,
Kyoto,,why do tokyo and kyoto have the same letters,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sasuke Uchiha,,how old was sasuke when his clan died,NONE,3014-3015,,,,,,,,,,,,,,,,,,,,,,
Training camp (National Football League),,how long is training camp for nfl players,NONE,152-158,,,,,,,,,,,,,,,,,,,,,,
Speaker of the National Assembly of Pakistan,,the last speaker of the national assembly during ayub’s government was,NONE,,,,,,,,,,,,,,,,,,,,,,,
Air pollution,,where do some of the natural air pollutants come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
New Birth Missionary Baptist Church,,who is the pastor of new birth missionary baptist church now,NONE,431-434,,,,,,,,,,,,,,,,,,,,,,
Commonwealth (U.S. insular area),,what's the difference between commonwealth and territory,NONE,,,,,,,,,,,,,,,,,,,,,,,
Mountain biking,,what are the different types of mountain biking,NONE,,,,,,,,,,,,,,,,,,,,,,,
Canadian Tire money,,how much canadian tire money do you get,NONE,,,,,,,,,,,,,,,,,,,,,,,
Dara,,what is the origin of the name dara,NONE,,,,,,,,,,,,,,,,,,,,,,,
Super Bowl LII halftime show,,who is doing 2018 super bowl half time show,NONE,193-195,,,,,,,,,,,,,,,,,,,,,,
Super Bowl LII halftime show,,who is playing the halftime show for the superbowl,NONE,,,,,,,,,,,,,,,,,,,,,,,
Document,,collection of all types of documents used in the banks and office definition,NONE,,,,,,,,,,,,,,,,,,,,,,,
2009 National Artist of the Philippines controversy,,who is the national artist for visual who was conferred and died of the same year 1999,NONE,,,,,,,,,,,,,,,,,,,,,,,
They Think It's All Over (TV series),,who hosted they think it's all over,NONE,453-456,,,,,,,,,,,,,,,,,,,,,,
Proof of Life,,where does the movie proof of life take place,NONE,1590-1594,,,,,,,,,,,,,,,,,,,,,,
Monkey's uncle,,where did the saying monkey's uncle come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of tie-breaking votes cast by vice presidents of the United States,,who breaks a tie in the us senate,NONE,351-357,,,,,,,,,,,,,,,,,,,,,,
Robin and the 7 Hoods,,robin and the 7 hoods mr booze scene,NONE,,,,,,,,,,,,,,,,,,,,,,,
Joule,,derived s.i. unit of joule (j) in terms of fundamental units,NONE,,,,,,,,,,,,,,,,,,,,,,,
Coming to America,,where was the movie coming to america shot,NONE,,,,,,,,,,,,,,,,,,,,,,,
U.S. Route 1,,where does us highway 1 start and end,NONE,370-389,,,,,,,,,,,,,,,,,,,,,,
Charlie's Angels: Full Throttle,,who played in charlie's angels full throttle,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of National Basketball Association single-game scoring leaders,,who scored the most points in a single game in the nba,NONE,454-456,,,,,,,,,,,,,,,,,,,,,,
Natural gas in the United States,,where is natural gas found in the us,NONE,1234-1235,1251-1252,1289-1290,1308-1310,1311-1312,1212-1213,1214-1216,1347-1348,,,,,,,,,,,,,,,
"Indian general election, 1951–52",,when were the first general elections held in independent india,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tower of London,,what was the tower of london originally used for,NONE,,,,,,,,,,,,,,,,,,,,,,,
Marjory Stoneman Douglas High School,,stoneman douglas high school in parkland florida demographics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Zippo,,what type of fuel goes in a zippo,NONE,,,,,,,,,,,,,,,,,,,,,,,
G. Sankara Kurup,,first jnanpith award was an autor of which language,NONE,250-251,,,,,,,,,,,,,,,,,,,,,,
War of the Worlds (2005 film),,what happened to the son in war of the worlds,NONE,,,,,,,,,,,,,,,,,,,,,,,
Karl Urban,,who played scotty in the new star trek movie,NONE,,,,,,,,,,,,,,,,,,,,,,,
Dennis Quaid,,who played the agent in i can only imagine,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Batman television series cast members,,who played the mad hatter in the batman tv show,NONE,879-881,,,,,,,,,,,,,,,,,,,,,,
Beep Beep (song),,hey buddy how can i get this car out of second gear,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cracker Barrel,,how many cracker barrels in the united states,NONE,1445-1448,,,,,,,,,,,,,,,,,,,,,,
C4 carbon fixation,,in photosynthesis the carbon in co2 is initially fixed to what molecule,NONE,,,,,,,,,,,,,,,,,,,,,,,
F Is for Family,,who voices randy in f is for family,NONE,1110-1112,,,,,,,,,,,,,,,,,,,,,,
You Are the Apple of My Eye,,you are the apple of my eye poster,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Lip Reader,,who played the ice cream man in this is us,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cadbury,,how many countries does cadbury sell its products,NONE,208-213,,,,,,,,,,,,,,,,,,,,,,
Western Conference (NBA),,who is playing in the western conference finals,NONE,,,,,,,,,,,,,,,,,,,,,,,
False awakening,,what does it mean to dream about waking up,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ethiopian Airlines Flight 961,,ethiopia flight 961 crashes in to the sea,NONE,,,,,,,,,,,,,,,,,,,,,,,
ISTJ,,what does istj mean in a personality test,NONE,,,,,,,,,,,,,,,,,,,,,,,
A.P. Bio,,who plays the ex girlfriend on ap bio,NONE,,,,,,,,,,,,,,,,,,,,,,,
Vertebral column,,where is the vertebral column located in the human body,NONE,,,,,,,,,,,,,,,,,,,,,,,
Skin in the game (phrase),,where does the term skin in the game come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Mount St. Helens,,where is mount st. helens located on a map,NONE,,,,,,,,,,,,,,,,,,,,,,,
Great Wall of China,,when was the great wall of cina built,NONE,,,,,,,,,,,,,,,,,,,,,,,
Habitat fragmentation,,extinction can be the result of habitat fragmentation,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Live by the sword, die by the sword",,if you live by the sword you die by the sword lyrics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Weaver (surname),,where did the last name weaver come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Public land,,list five types of public lands in the united states,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sing (2016 American film),,who does the voice of ash in sing,NONE,1494-1496,,,,,,,,,,,,,,,,,,,,,,
"Paris Peace Conference, 1919",,after wwi some colonies that had participated made demands for independence primarily because,NONE,,,,,,,,,,,,,,,,,,,,,,,
1989 Loma Prieta earthquake,,facts about the loma prieta earthquake of 1989,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of National Basketball Association career scoring leaders,,who scored the most points in their nba career,NONE,339-343,,,,,,,,,,,,,,,,,,,,,,
Seattle Seahawks,,when did the 49ers last won a superbowl,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of U.S. states and territories by population density,,with a land area of 54 314 square miles where does wisconsin rank among the 50 states,NONE,1982-1983,,,,,,,,,,,,,,,,,,,,,,
Mary River (Queensland),,where does the mary river start and finish,NONE,,,,,,,,,,,,,,,,,,,,,,,
Mary's Boy Child,,who sang mary's boy child in 1957 and 1978,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Haves and the Have Nots (TV series),,who plays charles on have and have nots,NONE,10496-10498,,,,,,,,,,,,,,,,,,,,,,
Nathan's Hot Dog Eating Contest,,where is nathan's hotdog eating contest held,NONE,168-201,,,,,,,,,,,,,,,,,,,,,,
My Country My Life,,who wrote the book my country my life,NONE,146-178,,,,,,,,,,,,,,,,,,,,,,
Parole,,what does it mean to be on parole,NONE,317-336,,,,,,,,,,,,,,,,,,,,,,
East India Company,,when did the east india company take control of india,NONE,,,,,,,,,,,,,,,,,,,,,,,
Stations of the Cross,,the origins of the stations of the cross,NONE,279-296,,,,,,,,,,,,,,,,,,,,,,
Lake Eyre,,where does the water come from to fill lake eyre,NONE,168-170,,,,,,,,,,,,,,,,,,,,,,
Area code 808,,is area code 808 a toll free number,NO,,,,,,,,,,,,,,,,,,,,,,,
Google,,who is the founder of google and when was it founded,NONE,289-290,291-296,,,,,,,,,,,,,,,,,,,,,
Tabula rasa,,the tabula rasa concept is consistent with the perspective of language development,NONE,,,,,,,,,,,,,,,,,,,,,,,
Dominican War of Independence,,who did the dominican republic gain its independence from,NONE,290-291,,,,,,,,,,,,,,,,,,,,,,
Prehistoric technology,,how did early humans make use of stones during the prehistoric period,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jeanie with the Light Brown Hair,,who wrote the text for jeanie with the light brown hair,NONE,108-110,,,,,,,,,,,,,,,,,,,,,,
Stefan Salvatore,,who does stefan end up with in the vampire diaries,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Washington Post,,who owns the washington post and new york times,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bed,,how many types of bed sizes are there,NONE,,,,,,,,,,,,,,,,,,,,,,,
Troubadour,,who were the troubadours and what did they do,NONE,,,,,,,,,,,,,,,,,,,,,,,
Rational planning model,,the basic steps of rational decision making include defining goals and,NONE,,,,,,,,,,,,,,,,,,,,,,,
Art Deco,,when was the design period known as art deco,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Bob & Tom Show,,where does the bob and tom show broadcast from,NONE,158-163,,,,,,,,,,,,,,,,,,,,,,
List of Star Wars: The Clone Wars episodes,,star wars the clone wars season 3 episode 1,NONE,,,,,,,,,,,,,,,,,,,,,,,
Frontal lobe,,what part of brain is responsible for complex thinking,NONE,,,,,,,,,,,,,,,,,,,,,,,
2016 UEFA Champions League Final,,who won the champions league final in 2016,NONE,283-285,,,,,,,,,,,,,,,,,,,,,,
Capital gains tax in the United States,,what is the federal long term capital gains tax rate for 2017,NONE,,,,,,,,,,,,,,,,,,,,,,,
Brooke Smith (actress),,who played the girl in the pit in silence of the lambs,NONE,,,,,,,,,,,,,,,,,,,,,,,
All-time Olympic Games medal table,,who has the most gold medals in the winter olympics of all time,NONE,5611-5612,,,,,,,,,,,,,,,,,,,,,,
The Strangers: Prey at Night,,where was the movie strangers prey at night filmed,NONE,1977-1980,,,,,,,,,,,,,,,,,,,,,,
Rain shadow,,what effect do the atlas mountains have on rainfall,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Marvel Cinematic Universe films,,what order do the captain america movies go in,NONE,,,,,,,,,,,,,,,,,,,,,,,
Limit of a function,,when does a limit of a function not exist,NONE,801-818,,,,,,,,,,,,,,,,,,,,,,
I Don't Like Mondays,,when was i don't like mondays released,NONE,78-81,,,,,,,,,,,,,,,,,,,,,,
B-type main-sequence star,,if a star is class b what is its temperature,NONE,,,,,,,,,,,,,,,,,,,,,,,
Remote Play,,what ps3 games are compatible with remote play,NONE,,,,,,,,,,,,,,,,,,,,,,,
Robert Carradine,,pictures of the cast of revenge of the nerds,NONE,,,,,,,,,,,,,,,,,,,,,,,
World economy,,what do the economic systems of the uk germany and russia have in common,NONE,492-508,,,,,,,,,,,,,,,,,,,,,,
Flag of Uruguay,,what does the sun represent on the uruguay flag,NONE,391-397,412-426,,,,,,,,,,,,,,,,,,,,,
The Originals (season 2),,who dies in season 2 of the originals,NONE,3415-3416,,,,,,,,,,,,,,,,,,,,,,
Nix v. Hedden,,pizza is defined as a vegetable in the united states,NONE,,,,,,,,,,,,,,,,,,,,,,,
Beryl Markham,,when did beryl markham fly across the atlantic,NONE,953-955,,,,,,,,,,,,,,,,,,,,,,
Tropic of Cancer,,what are the states through which the tropic of cancer passes,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of NYPD Blue characters,,who played john clark sr on nypd blue,NONE,8266-8268,,,,,,,,,,,,,,,,,,,,,,
Parable of the Pearl,,what does the pearl symbolize in the bible,NONE,,,,,,,,,,,,,,,,,,,,,,,
Mom and Dad (2017 film),,where is mom and dad or where are mom and dad,NONE,,,,,,,,,,,,,,,,,,,,,,,
Boom (P.O.D. song),,when did the song here comes the boom come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
Archie Marries Veronica/Archie Marries Betty,,does archie end up with betty or veronica in riverdale,NONE,,,,,,,,,,,,,,,,,,,,,,,
4-bolt main,,what is the difference between a chevy 2 bolt main and a 4 bolt main,NONE,,,,,,,,,,,,,,,,,,,,,,,
United States Declaration of Independence,,who wrote most of the declaration of independance,NONE,88-90,,,,,,,,,,,,,,,,,,,,,,
Afro-Eurasia,,when did african isolation from the european old world occur,NONE,,,,,,,,,,,,,,,,,,,,,,,
Brant Daugherty,,who does brant daugherty play in pretty little liars,NONE,123-125,,,,,,,,,,,,,,,,,,,,,,
Judicial review,,how does the power of judicial review check the legislative and executive branches,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jason Gilkison,,who is the choreographer for strictly come dancing,NONE,,,,,,,,,,,,,,,,,,,,,,,
Green Room (White House),,pictures of the green room in the white house,NONE,,,,,,,,,,,,,,,,,,,,,,,
Vitruvian Man,,who explained the workings of the human body,NONE,,,,,,,,,,,,,,,,,,,,,,,
I Can Only Imagine (film),,who played amy grant i i can only imagine,NONE,,,,,,,,,,,,,,,,,,,,,,,
Natural-language processing,,art of learning from text objects or speech,NONE,,,,,,,,,,,,,,,,,,,,,,,
Economy of India,,india gdp growth rate in last 10 years,NONE,,,,,,,,,,,,,,,,,,,,,,,
Climate of the United States,,the climate of the united states can be best described as,NONE,,,,,,,,,,,,,,,,,,,,,,,
Visa requirements for South African citizens,,does a south african passport need a visa for singapore,NO,,,,,,,,,,,,,,,,,,,,,,,
Tiger Zinda Hai,,who played the villain in tiger zinda hai,NONE,860-862,,,,,,,,,,,,,,,,,,,,,,
The Legend of Zelda: Majora's Mask,,how long is a day in majora's mask,NONE,,,,,,,,,,,,,,,,,,,,,,,
Here We Go Round the Mulberry Bush,,here we go round the mulberry bush origin,NONE,,,,,,,,,,,,,,,,,,,,,,,
From Under the Cork Tree,,when did under the cork tree come out,NONE,314-318,,,,,,,,,,,,,,,,,,,,,,
Division of Korea,,when did korea separate into north and south,NONE,,,,,,,,,,,,,,,,,,,,,,,
Atom,,who discovered the atom and in what year,NONE,,,,,,,,,,,,,,,,,,,,,,,
Esophagus,,what is the purpose of the muscles that line the esophagus,NONE,,,,,,,,,,,,,,,,,,,,,,,
Appropriation bill,,creating appropriation bills falls under which power of congress,NONE,,,,,,,,,,,,,,,,,,,,,,,
Wonder (film),,who is the movie wonder based off of,NONE,,,,,,,,,,,,,,,,,,,,,,,
Round steak,,where does eye of the round roast come from,NONE,119-125,,,,,,,,,,,,,,,,,,,,,,
Let Me Love You (DJ Snake song),,who sings the song let me love you,NONE,364-366,367-370,,,,,,,,,,,,,,,,,,,,,
Minority rights,,a resolution on the rights of minorities by congress was initiated by,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Lost Girl episodes,,how many seasons are there for lost girl,NONE,,,,,,,,,,,,,,,,,,,,,,,
Wool,,who is the leading african producer of wool,NONE,3907-3909,,,,,,,,,,,,,,,,,,,,,,
Demography of the United States,,what percentage of the us population is over 50,NONE,,,,,,,,,,,,,,,,,,,,,,,
Man overboard,,the key to rescuing a man overboard is,NONE,,,,,,,,,,,,,,,,,,,,,,,
1917–18 NHL season,,where was the first nhl hockey game played,NONE,,,,,,,,,,,,,,,,,,,,,,,
A Place to Call Home (season 5),,who dies in a place to call home,NONE,,,,,,,,,,,,,,,,,,,,,,,
iPhone 5S,,how many inches is the iphone 5s screen,NONE,5015-5020,,,,,,,,,,,,,,,,,,,,,,
Apoptosis,,where do the signals for apoptosis come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Someone Saved My Life Tonight,,meaning of song someone saved my life tonight,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of Delhi,,who made delhi as capital for the first time,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Australian capital cities,,what was the first capital city of australia,NONE,49-50,,,,,,,,,,,,,,,,,,,,,,
2017 NCAA Division I Women's Basketball Tournament,,who won the womens 2017 ncaa basketball tournament,NONE,284-286,,,,,,,,,,,,,,,,,,,,,,
List of Ray Donovan episodes,,how many episodes of ray donovan series 3 are there,NONE,6770-6771,,,,,,,,,,,,,,,,,,,,,,
Bob Barker,,what game show host has a black belt,NONE,,,,,,,,,,,,,,,,,,,,,,,
Georges Clemenceau,,at one point during the first world war the french prime minister,NONE,,,,,,,,,,,,,,,,,,,,,,,
Daylight saving time in Canada,,when does canada switch to daylight savings time,NONE,171-176,,,,,,,,,,,,,,,,,,,,,,
Jack Ryan (character),,where does jack ryan live in patriot games,NONE,2301-2309,,,,,,,,,,,,,,,,,,,,,,
Objective correlative,,who gave the famous objective co relative theory,NONE,129-131,,,,,,,,,,,,,,,,,,,,,,
Mandy (name),,what is the meaning of the name mandy,NONE,,,,,,,,,,,,,,,,,,,,,,,
Paleomagnetism,,paleomagnetism is a dating method based on changes in the earth's polarity as demonstrated by,NONE,,,,,,,,,,,,,,,,,,,,,,,
ATX,,atx cases are compatible with which type of motherboard,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cable-stayed bridge,,when did cable stayed bridges increase in popularity,NONE,,,,,,,,,,,,,,,,,,,,,,,
Newman's Own,,does newman's own really give all profits to charity,YES,,,,,,,,,,,,,,,,,,,,,,,
Lee Thompson Young,,what happened to the actor who played frost on rizzoli and isles,NONE,,,,,,,,,,,,,,,,,,,,,,,
Movement for the Restoration of the Ten Commandments of God,,movement for the restoration of the 10 commandments,NONE,,,,,,,,,,,,,,,,,,,,,,,
Son of Beast,,is the son of the beast still at kings island,NO,,,,,,,,,,,,,,,,,,,,,,,
Celebratory gunfire,,where do bullets go when fired in the air,NONE,310-321,,,,,,,,,,,,,,,,,,,,,,
Fargo (film),,what true story is the movie fargo based on,NONE,,,,,,,,,,,,,,,,,,,,,,,
Hierarchy of the Catholic Church,,who was the highest ranking official in the early christian church,NONE,,,,,,,,,,,,,,,,,,,,,,,
Keep Calm and Carry On,,where did the keep calm thing come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Domain (biology),,which domain of life are humans members of,NONE,,,,,,,,,,,,,,,,,,,,,,,
NFL Game Pass,,when do replays become available on nfl game pass,NONE,130-136,,,,,,,,,,,,,,,,,,,,,,
Perry (surname),,where does the last name perry come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bacterial taxonomy,,what is the taxonomical significance of the gram stain method,NONE,,,,,,,,,,,,,,,,,,,,,,,
Warren Court,,the warren court ruled that constitutional protections did not extend to prisoners,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cylon (reimagining),,who are the 12 cylons in battlestar galactica,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jurassic World Evolution,,when is the new jurassic world game coming out,NONE,164-168,,,,,,,,,,,,,,,,,,,,,,
Triple Entente,,what was the alliance between great britian russia and france known as,NONE,23-26,,,,,,,,,,,,,,,,,,,,,,
List of The Doctor Blake Mysteries episodes,,dr blake mysteries the ties of the past cast,NONE,,,,,,,,,,,,,,,,,,,,,,,
"List of participants to Paris Peace Conference, 1919",,who was invited to the peace talks in versailles,NONE,,,,,,,,,,,,,,,,,,,,,,,
Capital punishment in Oregon,,when was the death penalty reinstated in oregon,NONE,1083-1084,,,,,,,,,,,,,,,,,,,,,,
Bill of lading,,difference between straight and order bill of lading,NONE,,,,,,,,,,,,,,,,,,,,,,,
Third Rome,,after the fall of constantinople in 1453 moscow became known as the third rome,NONE,,,,,,,,,,,,,,,,,,,,,,,
ICQ,,what was icq as related to instant messaging,NONE,209-226,,,,,,,,,,,,,,,,,,,,,,
The Riveras,,when does season 3 of the riveras start,NONE,746-750,,,,,,,,,,,,,,,,,,,,,,
Rivers in Himachal Pradesh,,chandra and bhaga river meets at the place,NONE,234-238,,,,,,,,,,,,,,,,,,,,,,
American Civil War,,who took part in the american civil war,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cartilaginous joint,,all types of joints allow for the same range of motion,NONE,,,,,,,,,,,,,,,,,,,,,,,
"The Source Presents: Hip Hop Hits, Vol. 4",,the source presents hip hop hits vol. 4 songs,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Passion of the Christ,,when do subtitles start in the passion of the christ,NONE,,,,,,,,,,,,,,,,,,,,,,,
Flag of India,,when was the national flag of india adopted,NONE,186-198,,,,,,,,,,,,,,,,,,,,,,
What Christmas Means to Me,,stevie wonder that's what christmas means to me,NONE,,,,,,,,,,,,,,,,,,,,,,,
New Kingdom of Egypt,,what was the most important new religious figure of the new kingdom of ancient egypt,NONE,,,,,,,,,,,,,,,,,,,,,,,
Education in Bangladesh,,paragraph the problem of higher education in bangladesh,NONE,,,,,,,,,,,,,,,,,,,,,,,
Chernobyl disaster,,what happened at the chernobyl nuclear power plant,NONE,,,,,,,,,,,,,,,,,,,,,,,
